Oper Day,Interval Ending,HB_BUSAVG,HB_HOUSTON,HB_HUBAVG,HB_NORTH,HB_SOUTH,HB_WEST,LZ_AEN,LZ_CPS,LZ_HOUSTON,LZ_LCRA,LZ_NORTH,LZ_RAYBN,LZ_SOUTH,LZ_WEST
09/03/2017,0015,20.89,20.44,20.83,20.96,20.99,20.96,20.98,20.98,21.00,20.98,20.96,20.96,20.98,20.96
09/03/2017,0030,20.73,20.49,20.70,20.77,20.78,20.77,20.78,20.78,20.78,20.78,20.77,20.77,20.78,20.77
09/03/2017,0045,20.63,20.40,20.60,20.66,20.67,20.66,20.67,20.67,20.68,20.67,20.66,20.66,20.67,20.66
09/03/2017,0100,20.35,20.15,20.32,20.38,20.39,20.38,20.39,20.39,20.39,20.39,20.38,20.38,20.39,20.38
09/03/2017,0115,20.48,20.26,20.45,20.51,20.52,20.51,20.52,20.52,20.52,20.52,20.51,20.51,20.52,20.51
09/03/2017,0130,20.81,20.41,20.76,20.87,20.89,20.87,20.88,20.89,20.90,20.88,20.87,20.87,20.89,20.87
09/03/2017,0145,20.67,19.98,20.59,20.77,20.82,20.78,20.80,20.81,20.83,20.80,20.77,20.77,20.81,20.78
09/03/2017,0200,20.35,19.54,20.25,20.47,20.52,20.48,20.50,20.52,20.53,20.51,20.47,20.47,20.52,20.48
09/03/2017,0215,20.45,19.72,20.36,20.56,20.60,20.56,20.59,20.60,20.62,20.59,20.56,20.56,20.60,20.57
09/03/2017,0230,20.13,19.24,20.02,20.27,20.32,20.27,20.30,20.32,20.34,20.30,20.27,20.27,20.32,20.28
09/03/2017,0245,20.12,19.21,20.00,20.25,20.30,20.26,20.28,20.30,20.32,20.29,20.25,20.25,20.30,20.26
09/03/2017,0300,20.33,19.51,20.23,20.45,20.50,20.46,20.49,20.50,20.52,20.49,20.45,20.45,20.50,20.46
09/03/2017,0315,20.27,19.43,20.17,20.40,20.45,20.41,20.43,20.45,20.47,20.43,20.40,20.40,20.45,20.41
09/03/2017,0330,20.23,19.37,20.13,20.36,20.41,20.37,20.39,20.41,20.43,20.40,20.36,20.36,20.41,20.37
09/03/2017,0345,20.07,19.15,19.96,20.21,20.26,20.22,20.25,20.26,20.29,20.25,20.21,20.21,20.26,20.22
09/03/2017,0400,20.10,19.19,19.98,20.23,20.28,20.24,20.27,20.28,20.31,20.27,20.23,20.23,20.28,20.24
09/03/2017,0415,20.17,19.29,20.07,20.30,20.36,20.31,20.34,20.35,20.38,20.34,20.30,20.30,20.36,20.31
09/03/2017,0430,19.98,19.03,19.87,20.12,20.18,20.13,20.16,20.18,20.21,20.16,20.12,20.12,20.18,20.13
09/03/2017,0445,19.67,18.60,19.54,19.83,19.89,19.84,19.87,19.89,19.93,19.87,19.83,19.83,19.89,19.84
09/03/2017,0500,19.58,18.48,19.45,19.75,19.81,19.76,19.79,19.81,19.85,19.79,19.75,19.75,19.81,19.76
09/03/2017,0515,19.78,18.75,19.65,19.93,19.99,19.94,19.97,19.99,20.03,19.97,19.93,19.93,19.99,19.94
09/03/2017,0530,20.25,19.39,20.14,20.37,20.42,20.38,20.41,20.42,20.45,20.41,20.37,20.37,20.42,20.38
09/03/2017,0545,20.20,19.32,20.09,20.33,20.38,20.33,20.36,20.37,20.41,20.36,20.33,20.33,20.38,20.34
09/03/2017,0600,20.36,19.73,20.28,20.45,20.49,20.46,20.48,20.49,20.51,20.48,20.45,20.45,20.49,20.46
09/03/2017,0615,19.67,18.60,19.54,19.83,19.89,19.84,19.87,19.89,19.93,19.88,19.83,19.83,19.89,19.84
09/03/2017,0630,19.61,18.51,19.48,19.77,19.84,19.78,19.81,19.83,19.87,19.82,19.77,19.77,19.84,19.78
09/03/2017,0645,19.76,18.72,19.63,19.91,19.98,19.92,19.96,19.97,20.01,19.96,19.92,19.91,19.98,19.93
09/03/2017,0700,19.82,18.81,19.70,19.97,20.03,19.98,20.01,20.03,20.07,20.02,19.97,19.97,20.03,19.98
09/03/2017,0715,19.48,19.37,19.47,19.50,19.51,19.50,19.51,19.51,19.51,19.51,19.50,19.50,19.51,19.50
09/03/2017,0730,19.24,19.16,19.23,19.25,19.25,19.25,19.25,19.25,19.26,19.25,19.25,19.25,19.25,19.25
09/03/2017,0745,19.21,19.14,19.20,19.22,19.22,19.22,19.22,19.22,19.23,19.22,19.22,19.22,19.22,19.22
09/03/2017,0800,19.48,19.37,19.47,19.49,19.50,19.50,19.50,19.50,19.50,19.50,19.49,19.49,19.50,19.50
09/03/2017,0815,20.21,20.03,20.19,20.24,20.25,20.24,20.25,20.25,20.26,20.25,20.24,20.24,20.25,20.24
09/03/2017,0830,20.70,20.46,20.67,20.73,20.74,20.73,20.74,20.74,20.75,20.74,20.73,20.73,20.74,20.73
09/03/2017,0845,20.93,20.56,20.89,20.99,21.01,20.99,21.00,21.01,21.02,21.00,20.99,20.99,21.01,20.99
09/03/2017,0900,20.89,20.28,20.81,20.98,21.01,20.98,21.00,21.01,21.03,21.00,20.98,20.98,21.01,20.98
09/03/2017,0915,20.96,20.38,20.89,21.05,21.08,21.05,21.07,21.08,21.10,21.07,21.05,21.05,21.08,21.05
09/03/2017,0930,21.31,20.85,21.25,21.37,21.40,21.38,21.39,21.40,21.41,21.39,21.37,21.37,21.40,21.38
09/03/2017,0945,21.94,21.49,21.88,22.00,22.03,22.00,22.02,22.03,22.05,22.02,22.00,22.00,22.03,22.01
